DATE,DEX,TOKEN_IN,AMOUNT,TRADERS
2022-04-27,ref,USDC,258897.72,17
2022-07-12,ref,USN,2162.55,8
2022-09-11,jumbo,USDC,0,1
2022-06-20,ref,USDT,996341.57,29
2022-10-04,ref,USN,766.07,5
2022-06-22,ref,USN,2271.36,9
2022-11-18,jumbo,USDT,0.13,1
2022-05-26,ref,DAI,7722.83,12
2022-09-21,ref,DAI,2389.36,10
2022-07-15,ref,USDC,173368.49,14
2022-09-28,ref,USN,4254.66,7
2022-08-25,ref,DAI,1222.07,5
2022-03-12,ref,DAI,1548.4,2
2022-03-19,jumbo,USDT,184.48,3
2022-07-27,jumbo,USDT,0.3,1
2022-01-08,ref,USDT,400563.44,62
2022-07-19,ref,USN,11209.26,8
2022-03-01,ref,USDC,634799.18,38
2022-10-31,ref,USDC,111638.15,8
2022-08-01,ref,DAI,1545.72,6
2021-09-25,ref,USDT,440658.51,84
2022-08-05,ref,USN,18054.83,7
2022-09-26,ref,DAI,640.28,8
2021-10-25,ref,USDC,61955.74,69
2022-09-18,ref,USDT,149428.81,26
2022-06-10,ref,USDT,331681.38,30
2022-04-08,ref,USDT,1108514,41
2022-03-17,ref,USDT,170683.49,9
2021-09-04,ref,USDT,205725.91,89
2022-11-18,ref,USDT,48500.45,10
2021-12-10,ref,DAI,506278.49,24
2021-12-23,ref,USDT,1275549.61,65
2022-05-18,ref,USN,2015.41,22
2021-11-04,ref,DAI,265144.48,63
2022-03-28,ref,USDT,26589.93,23
2022-09-06,ref,USDT,448513.85,18
2022-07-12,ref,USDT,186030.51,15
2022-03-04,jumbo,USDT,13.03,3
2022-08-04,jumbo,USDT,0.53,2
2022-02-21,jumbo,USDT,105.56,2
2022-08-22,ref,DAI,1954.86,5
2022-01-13,ref,DAI,181261.03,28
2022-03-14,ref,DAI,5745.87,3
2021-09-15,ref,USDT,369301.54,87
2022-03-28,ref,DAI,2044.25,10
2021-12-25,ref,USDC,9258.46,51
2022-01-25,ref,USDC,12437.53,20
2022-06-17,ref,USDT,916665.17,18
2022-05-24,ref,USN,676.97,13
2022-01-02,ref,DAI,15841.04,30
2022-04-28,ref,DAI,6035.98,11
2021-11-27,ref,USDC,2062.96,12
2022-03-29,ref,USDT,111290.98,23
2022-08-10,ref,USN,12946.79,7
2022-02-27,ref,USDT,234783.72,24
2021-11-09,ref,USDC,3582.03,24
2022-08-09,ref,USDC,443895.65,12
2022-03-23,jumbo,USDT,20887.4,3
2022-01-13,ref,USDC,4521.84,17
2022-07-05,ref,USDC,143166.82,8
2022-03-18,ref,USDT,151949.03,20
2022-05-31,jumbo,USDT,405.83,4
