DATE,DEX,AMOUNT,TRADERS
2022-07-20,jumbo,109.66,2
2021-11-17,ref,677471.62,80
2022-11-08,ref,1799238.32,29
2022-05-10,ref,12392388.62,77
2021-10-23,ref,295794.31,231
2021-11-09,ref,814329.7,93
2022-06-16,ref,1207948.88,49
2022-09-20,ref,782586.68,48
2022-11-06,ref,270702.21,25
2022-08-28,ref,283595.87,21
2022-01-30,ref,100759.23,25
2022-07-17,jumbo,78.99,2
2022-02-24,jumbo,42.66,3
2022-10-16,jumbo,0.59,1
2022-06-20,jumbo,221.15,3
2021-12-13,ref,585198.45,39
2022-10-20,ref,275828.39,19
2022-05-18,ref,552657.52,55
2022-06-03,ref,554346.95,38
2022-01-16,ref,704146.17,62
2022-07-21,jumbo,123.86,3
2022-10-09,ref,24110.75,17
2022-08-02,jumbo,2.35,2
2022-08-15,jumbo,0.92,2
2022-06-17,jumbo,210.18,4
2022-09-27,ref,576770.97,32
2022-02-09,ref,182007.14,34
2021-09-19,ref,1249237.54,152
2021-11-29,ref,284374.78,237
2022-08-19,jumbo,1.43,1
2022-07-18,jumbo,280.42,4
2022-11-09,jumbo,7.54,2
2022-02-26,jumbo,91.95,2
2022-03-09,ref,571168.46,11
2022-01-18,ref,578009.41,72
2022-05-11,ref,8278008.64,130
2022-03-19,ref,341022.35,27
2021-11-30,ref,639793.95,55
2022-03-28,ref,72846.49,32
2022-08-22,ref,609475.72,23
2022-06-10,jumbo,416.51,3
2022-06-12,jumbo,667.57,4
2022-09-10,jumbo,0.09,1
2022-09-29,jumbo,5.73,3
2021-09-12,ref,777048.01,108
2021-12-03,ref,1212475.08,35
2021-12-15,ref,862944.22,34
2022-06-11,jumbo,298.91,4
2022-06-04,jumbo,30.5,2
2022-08-04,jumbo,0.53,2
2022-05-06,jumbo,1.71,1
2022-10-03,jumbo,0.2,1
2022-04-05,jumbo,4.62,2
2022-01-24,ref,816738.82,53
2021-12-11,ref,1199588.78,65
2022-04-16,ref,165729,35
2022-09-09,ref,779860.05,25
2021-10-12,ref,420483.45,218
2022-02-18,ref,702899.76,63
2022-03-21,ref,54150.74,26
2022-05-29,jumbo,96.42,4
2022-03-11,jumbo,15.2,1
2022-02-23,jumbo,5.52,1
2021-10-17,ref,171775.99,212
2021-10-26,ref,1515181.05,606
2021-11-08,ref,456563.21,108
